date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:16	974/974	---M--	200	added ('OK')	image/png	etag:%223ce-5f337e9a-e1d9e66a85f1eea7;;;%22	http://sun-themes.com/html/fooday/assets/images/logo-white.png	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/images/logo-white.png	(from http://sun-themes.com/html/fooday/index.html)
16:00:16	994/994	---M--	200	added ('OK')	image/png	etag:%223e2-5f337e9a-ae261458b7a447a1;;;%22	http://sun-themes.com/html/fooday/assets/images/logo.png	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/images/logo.png	(from http://sun-themes.com/html/fooday/index.html)
16:00:17	102239/102239	---M-Z	200	added ('OK')	text/html	etag:%2218f5f-5f28fbb2-26acc4f5b767b881;gz%22	http://sun-themes.com/html/fooday/homepage2.html	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/homepage2.html	(from http://sun-themes.com/html/fooday/index.html)
16:00:17	73908/73908	---M-Z	200	added ('OK')	text/html	etag:%22120b4-5f28fbb2-d2d2bf06fed57c58;gz%22	http://sun-themes.com/html/fooday/homepage3.html	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/homepage3.html	(from http://sun-themes.com/html/fooday/index.html)
16:00:17	43832/43832	---M-Z	200	added ('OK')	text/html	etag:%22ab38-5f28fbb1-c6dfc927861997cd;gz%22	http://sun-themes.com/html/fooday/home-fullpage.html	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/home-fullpage.html	(from http://sun-themes.com/html/fooday/index.html)
16:00:18	55552/55552	---M-Z	200	added ('OK')	text/html	etag:%22d900-5f28fbb2-fda9ec79053deb7b;gz%22	http://sun-themes.com/html/fooday/home-shop.html	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/home-shop.html	(from http://sun-themes.com/html/fooday/index.html)
16:00:18	88891/88891	---M-Z	200	added ('OK')	text/html	etag:%2215b3b-5f28fbb2-6f519e3c2eee8aba;gz%22	http://sun-themes.com/html/fooday/homesidebarmenu.html	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/homesidebarmenu.html	(from http://sun-themes.com/html/fooday/index.html)
16:00:18	65827/65827	---M-Z	200	added ('OK')	text/html	etag:%2210123-5f28fbb1-8fb35c9121f9604b;gz%22	http://sun-themes.com/html/fooday/home-one-page.html	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/home-one-page.html	(from http://sun-themes.com/html/fooday/index.html)
16:00:19	84977/84977	---M-Z	200	added ('OK')	text/html	etag:%2214bf1-5f28fbb1-108a4dc33fd4cdfc;gz%22	http://sun-themes.com/html/fooday/home-boxed.html	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/home-boxed.html	(from http://sun-themes.com/html/fooday/index.html)
16:00:19	58145/58145	---M-Z	200	added ('OK')	text/html	etag:%22e321-5f28fbb0-2d1a518aa9f3402;gz%22	http://sun-themes.com/html/fooday/about.html	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/about.html	(from http://sun-themes.com/html/fooday/index.html)
